O'rin,Jamoa,O’yin,G’alaba,Durang,Mag’lubiyat,UG,O’G,TF,Ochko,Form,More
1,https://storage.yandexcloud.net/pfluz/club/dc9e315c-8f93-45b2-8dd4-3b8a15328b83-7229fe82-2772-445a-aae2-d4d5b5cc5fc3.svg,20,12,7,1,36,16,20,43,G’G’MDG’,
2,https://storage.yandexcloud.net/pfluz/club/17a978e1-8ac0-4b67-822d-6bfc8226cd63-b06f4f55-a433-47c5-860a-35fd7677f79d.svg,20,12,6,2,33,16,17,42,G’G’G’G’M,
3,https://storage.yandexcloud.net/pfluz/club/e490a3ce-36b6-453a-84dd-5c6d822d7609-78eaa1d5-c846-4af7-8210-98678974c1cb.svg,20,10,8,2,30,23,7,38,DG’DG’D,
4,https://storage.yandexcloud.net/pfluz/club/13dcaf12-3e94-4777-87de-82651f0623c1-31b4ef10-30b5-4619-9b2f-9d22842eaeee.svg,20,11,4,5,29,20,9,37,G’MDG’G’,
5,https://storage.yandexcloud.net/pfluz/club/7e4032c9-a3e7-4598-a818-f1a51494fd13-4183ffc3-9f18-4a44-bb96-baba13534ba0.svg,20,11,3,6,42,19,23,36,G’G’DMG’,
6,https://storage.yandexcloud.net/pfluz/club/921738c5-15db-46dd-ad63-ae17068d4ed3-a8e26156-e148-4abc-b2b0-5df9c144708d.svg,20,9,8,3,32,21,11,35,DG’MDG’,
7,https://storage.yandexcloud.net/pfluz/club/185b4d54-33d6-4ee8-a0fc-bd6685134792-93b708b7-2b7f-4a96-b080-2244d3f5fdfa.svg,20,9,5,6,37,23,14,32,DMG’DD,
8,https://storage.yandexcloud.net/pfluz/club/d363e9b1-e00b-474c-b0cb-5f52059d10e3-6d4fa171-2a17-4ac1-ab4f-13a777b2652b.svg,20,6,8,6,18,26,-8,26,DG’DG’D,
9,https://storage.yandexcloud.net/pfluz/club/367bdf93-c409-4c4c-b5ca-2f526ad65fdf-d7c599df-2b55-4ab3-9f23-a7d32c939fec.svg,20,6,5,9,18,23,-5,23,MMG’DD,
10,https://storage.yandexcloud.net/pfluz/club/39befa2c-3cc7-4e4c-ab6b-df86d56a596e-e78abbcc-53fc-488a-ab69-73e6802e4753.svg,20,5,6,9,22,25,-3,21,DMG’DM,
11,https://storage.yandexcloud.net/pfluz/club/cb414eb7-945f-4e5b-982d-1b526c0596d4-05309b8b-d6ac-440a-b536-b352079d2bb6.svg,20,5,6,9,25,32,-7,21,MMMDG’,
12,https://storage.yandexcloud.net/pfluz/club/2f4ecabc-185c-4a6c-853d-314ddcea10cf-0822405f-833f-4015-bcb2-c3513252a7ee.svg,20,5,4,11,23,26,-3,19,MMDDG’,
13,https://storage.yandexcloud.net/pfluz/club/5d2b3f1d-0ddd-4c79-ad46-1bb14e365a04-5c3a7dd6-6ed3-4422-b7ad-da1ee7d0f1c2.svg,20,5,3,12,16,38,-22,18,MG’MMM,
14,https://storage.yandexcloud.net/pfluz/club/49f4c323-ce03-47fd-8291-7a3f7bae393d-4f9364a9-6910-4e40-a694-8f925c5bd146.svg,20,5,3,12,15,32,-17,18,MG’G’MM,
15,https://storage.yandexcloud.net/pfluz/club/795ba082-b6c9-44a8-a3dc-2d4699d01070-fc7124eb-53c3-449f-8138-61a33feead9a.svg,20,4,5,11,19,32,-13,17,G’MDMM,
16,https://storage.yandexcloud.net/pfluz/club/f332c4f0-ec88-4e6a-8a81-414b9624ed5b-4a2335f2-aba0-4832-8731-f399ebcad9ae.svg,20,2,5,13,14,37,-23,11,DMMDM,
