Rank,NOC,Gold,Silver,Bronze
1,40,44,42,126
2,40,27,24,91
3,20,12,13,45
4,18,19,16,53
5,16,26,22,64
6,15,7,12,34
7,14,22,29,65
8,13,9,10,32
9,12,13,15,40
10,12,13,8,33
11,10,7,3,20
12,9,7,11,27
13,8,2,3,13
14,6,7,6,19
15,5,4,9,18
16,4,4,3,11
17,4,2,5,11
18,4,1,3,8
19,4,0,3,7
20,3,7,10,20
21,3,6,3,12
22,3,5,4,12
23,3,4,2,9
24,3,3,1,7
25,3,1,6,10
26,3,1,3,7
27,3,1,1,5
28,3,0,2,5
29,2,2,5,9
30,2,2,3,7
2,2,3,7,
32,2,1,6,9
33,2,1,1,4
34,2,1,0,3
35,2,0,5,7
36,2,0,3,5
37,2,0,2,4
2,0,2,4,
39,2,0,1,3
2,0,1,3,
41,1,5,1,7
42,1,4,5,10
43,1,3,3,7
44,1,3,2,6
1,3,2,6,
1,3,2,6,
–,1,3,1,5
47,1,3,0,4
48,1,2,5,8
49,1,2,2,5
50,1,2,1,4
51,1,1,6,8
52,1,1,1,3
1,1,1,3,
1,1,1,3,
55,1,1,0,2
1,1,0,2,
1,1,0,2,
1,1,0,2,
59,1,0,2,3
60,1,0,1,2
1,0,1,2,
62,1,0,0,1
1,0,0,1,
64,0,3,5,8
65,0,3,2,5
66,0,3,1,4
0,3,1,4,
68,0,2,4,6
0,2,4,6,
70,0,2,2,4
71,0,1,5,6
72,0,1,3,4
73,0,1,1,2
74,0,1,0,1
0,1,0,1,
0,1,0,1,
0,1,0,1,
0,1,0,1,
79,0,0,3,3
80,0,0,2,2
0,0,2,2,
0,0,2,2,
0,0,2,2,
84,0,0,1,1
0,0,1,1,
0,0,1,1,
0,0,1,1,
0,0,1,1,
0,0,1,1,
0,0,1,1,
0,0,1,1,
