Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Group D,9/18/19,A,,,,Atlético Madrid,2:2,LW,,,,,,90',,,
Group D,10/1/19,H,,,,B. Leverkusen,3:0,CF,1,,,,,90',,,
Group D,10/22/19,H,,,,Loko Moscow,2:1,CF,,,,,,90',,,
Group D,11/6/19,A,,,,Loko Moscow,1:2,CF,,1,,,,82',,,
Group D,11/26/19,H,,,,Atlético Madrid (1.),1:0,CF,,,,,,90',,,
Group D,12/11/19,A,,,,B. Leverkusen,0:2,CF,1,,,,,90',,,
last 16 1st leg,2/26/20,A,,,,Olympique Lyon,1:0,LW,,,,,,90',,,
last 16 2nd leg,8/7/20,H,,,,Olympique Lyon,2:1,LW,2,,,,,90',,,
"Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 8,  Starting eleven: 8,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0"
